"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44943","test_dropdown[Blue]","tests","Tue Oct 21 17:59:35 IST 2025","passed","Tue Oct 21 18:00:20 IST 2025","","test_dropdown","",""
"","21144","test_dropdown[Red-chrome]","tests","Wed Oct 22 14:40:10 IST 2025","passed","Wed Oct 22 14:40:31 IST 2025","","test_dropdown","",""
"","14228","test_dropdown[Green]","tests","Tue Oct 21 17:59:21 IST 2025","passed","Tue Oct 21 17:59:35 IST 2025","","test_dropdown","",""
"","21749","test_radio[impressive-edge]","tests","Wed Oct 22 14:48:06 IST 2025","passed","Wed Oct 22 14:48:28 IST 2025","","test_radio","",""
"","18135","test_login_logout[data1-edge]","tests","Wed Oct 22 14:45:30 IST 2025","failed","Wed Oct 22 14:45:48 IST 2025","","test_login","",""
"","23622","test_signup[data1-edge]","tests","Wed Oct 22 14:52:37 IST 2025","passed","Wed Oct 22 14:53:00 IST 2025","","test_signup","",""
"","47909","test_file_upload","tests","Tue Oct 21 18:00:20 IST 2025","passed","Tue Oct 21 18:01:08 IST 2025","","test_file_upload","",""
"","19224","test_broken_links[edge]","tests","Wed Oct 22 14:37:33 IST 2025","passed","Wed Oct 22 14:37:52 IST 2025","","test_broken_links","",""
"","12340","test_signup[data0-edge]","tests","Wed Oct 22 14:52:06 IST 2025","passed","Wed Oct 22 14:52:19 IST 2025","","test_signup","",""
"","25185","test_add_to_cart[edge]","tests","Wed Oct 22 14:36:19 IST 2025","passed","Wed Oct 22 14:36:44 IST 2025","","test_add_to_cart","",""
"","34333","test_broken_links","tests","Tue Oct 21 17:56:31 IST 2025","passed","Tue Oct 21 17:57:06 IST 2025","","test_broken_links","",""
"","46956","test_dropdown[Green-chrome]","tests","Wed Oct 22 14:40:49 IST 2025","passed","Wed Oct 22 14:41:36 IST 2025","","test_dropdown","",""
"","26308","test_multiple_windows[chrome]","tests","Wed Oct 22 14:45:48 IST 2025","passed","Wed Oct 22 14:46:14 IST 2025","","test_multiple_windows","",""
"","47958","test_broken_links[chrome]","tests","Wed Oct 22 14:36:44 IST 2025","passed","Wed Oct 22 14:37:32 IST 2025","","test_broken_links","",""
"","30081","test_multiple_windows[edge]","tests","Wed Oct 22 14:46:14 IST 2025","passed","Wed Oct 22 14:46:45 IST 2025","","test_multiple_windows","",""
